Time, Cpu(14527:infravisor-pod)\% Used, Cpu(489231:infravisor-pod)\% Used,(14527:infravisor-pod)\Memory Consumed Size MBytes,(489231:infravisor-pod)\Memory Consumed Size MBytes,Network-LCCP(Transmitted),Network-LCCP(Received),Network-EC CP(Transmitted),Network-EC CP(Received)
05/08/24 11:24,14.82,23.98,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,12.12,30.2,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,10.47,28.97,5111.39,2045.99,0,0,10000,2000
05/08/24 11:24,10.82,20.89,5111.39,2045.99,0,0,14000,3000
05/08/24 11:24,11.2,56.75,5111.39,2045.99,0,0,16000,1000
05/08/24 11:24,18.03,29.49,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,13.87,32.32,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,26.87,30.35,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,12.14,29.25,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,17.21,37.33,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,14.54,47.55,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,16.61,34.28,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,13.59,51.03,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,14.78,28.93,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,9.89,26.46,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,10.8,31.32,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,31.36,56.05,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,14.01,35.48,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,11.89,32.34,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,10.14,27.36,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,28.79,27.75,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,12.07,37.58,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,10.2,32.91,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,10.98,30.96,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,9.7,31.33,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,14.74,47.67,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,16.88,34.64,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,14.65,29.93,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,15.54,29.3,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,10.7,28.58,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,17.96,29.59,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,16.09,32.98,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,10.38,33.73,5111.39,2045.99,0,0,10000,2000
05/08/24 11:25,10.47,32.09,5111.39,2045.99,0,0,14000,3000
05/08/24 11:25,10.99,62.54,5111.39,2045.99,0,0,16000,1000
05/08/24 11:25,11.68,30.85,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,13.62,30.8,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,10.94,29.45,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,10.73,34.6,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,9.58,28.57,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,7.7,11.38,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,27.68,29.67,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,13.93,4.1,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,12.56,23.06,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,13.11,15.68,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,13.57,44.78,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,25.15,21.48,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,25.33,41.93,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,10.43,29.27,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,10.34,33.98,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,12.42,51.45,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,9.94,127.58,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,7.15,11.47,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,10.71,16.37,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,5.37,7.66,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,8.95,27.82,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,9.66,10.12,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,15.06,25.71,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,7.2,14.73,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,14.2,17.28,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,18.32,14.14,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,5.41,11.51,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,10.61,22.19,5111.39,2045.99,0,0,10000,2000
05/08/24 11:26,5.72,8.07,5111.39,2045.99,0,0,14000,3000
05/08/24 11:26,13.12,40.64,5111.39,2045.99,0,0,16000,1000
05/08/24 11:26,20.59,14.18,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,9.12,22.18,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,12.64,23.17,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,8.79,27.19,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,11.45,41.96,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,9.03,23,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,19.23,23.29,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,11.3,4.01,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,9.78,27.31,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,14.79,30.76,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,12.43,30.14,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,31.07,56.31,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,14.65,31.69,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,12.34,36.62,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,12.03,33.14,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,13.79,29.07,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,10.12,41.52,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,11.55,33.2,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,10.52,30.15,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,9.45,26.46,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,11.46,34.47,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,15.77,30.27,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,12.3,49.37,5111.39,2045.99,0,0,14000,3000
05/08/24 11:27,15.37,166.43,5111.39,2045.99,0,0,16000,1000
05/08/24 11:27,11.84,100.2,5111.39,2045.99,0,0,10000,2000
05/08/24 11:27,17.18,116.47,5111.39,2046,0,0,14000,3000
05/08/24 11:27,12.45,133.08,5111.39,2046,0,0,16000,1000
05/08/24 11:27,9.96,107.38,5111.39,2046,0,0,10000,2000
05/08/24 11:27,8.16,124.77,5111.39,2046,0,0,14000,3000
05/08/24 11:27,10.51,65.65,5111.39,2046,0,0,16000,1000
05/08/24 11:27,10.73,48.33,5111.39,2046,0,0,10000,2000
05/08/24 11:28,13.23,37.44,5111.39,2046,0,0,14000,3000
05/08/24 11:28,16.51,67.41,5111.39,2046,0,0,16000,1000
05/08/24 11:28,9.94,79.06,5111.39,2046,0,0,10000,2000
05/08/24 11:28,10.66,80.06,5111.39,2046,0,0,14000,3000
05/08/24 11:28,10.04,72.05,5111.39,2046,0,0,16000,1000
05/08/24 11:28,15.73,87.44,5111.39,2046,0,0,10000,2000
05/08/24 11:28,17.38,69.36,5111.39,2046,0,0,14000,3000
05/08/24 11:28,12.06,81.61,5111.39,2046,0,0,16000,1000
05/08/24 11:28,11.69,98.19,5111.39,2046,0,0,10000,2000
05/08/24 11:28,9.54,74.29,5111.39,2046,0,0,14000,3000
05/08/24 11:28,22.81,67.11,5111.39,2046,0,0,16000,1000
05/08/24 11:28,28.26,49.79,5111.39,2046,0,0,10000,2000
05/08/24 11:28,16.49,33.15,5111.39,2046,0,0,14000,3000
05/08/24 11:28,9.77,89.03,5111.39,2046,0,0,16000,1000
05/08/24 11:28,20.78,67.41,5111.39,2046,0,0,10000,2000
05/08/24 11:28,14.01,77.67,5111.39,2046,0,0,14000,3000
05/08/24 11:28,13.74,52.36,5111.39,2046,0,0,16000,1000
05/08/24 11:28,14.22,49.28,5111.39,2046,0,0,10000,2000
05/08/24 11:28,9.81,20.3,5111.39,2046,0,0,14000,3000
05/08/24 11:28,4.01,13.14,5111.39,2046,0,0,16000,1000
05/08/24 11:28,12.57,22.92,5111.39,2046,0,0,10000,2000
05/08/24 11:28,9.6,9.23,5111.39,2046,0,0,14000,3000
05/08/24 11:28,11.22,12.47,5111.39,2046,0,0,16000,1000
05/08/24 11:28,16.09,22.95,5111.39,2046,0,0,10000,2000
05/08/24 11:28,18.65,20.19,5111.39,2046,0,0,14000,3000
05/08/24 11:28,10.97,27.92,5111.39,2046,0,0,16000,1000
05/08/24 11:28,10.36,21.16,5111.39,2046,0,0,10000,2000
05/08/24 11:28,5.92,11.13,5111.39,2046,0,0,14000,3000
05/08/24 11:28,16.65,40.67,5111.39,2046,0,0,16000,1000
05/08/24 11:28,5.92,13.36,5111.39,2046,0,0,10000,2000
05/08/24 11:29,7.48,29.34,5111.39,2046,0,0,14000,3000
05/08/24 11:29,10.1,15.14,5111.39,2046,0,0,16000,1000
05/08/24 11:29,6.96,11.53,5111.39,2046,0,0,10000,2000
05/08/24 11:29,10.92,17.9,5111.39,2046,0,0,14000,3000
05/08/24 11:29,12.19,17.77,5111.39,2046,0,0,16000,1000
05/08/24 11:29,16.87,39.36,5111.39,2046,0,0,10000,2000
05/08/24 11:29,74.22,23.17,5111.39,2046,0,0,14000,3000
05/08/24 11:29,252.46,22.16,5111.39,2046,0,0,16000,1000
05/08/24 11:29,148.33,28.21,5111.39,2046,0,0,10000,2000
05/08/24 11:29,60.14,28.48,5111.39,2046,0,0,14000,3000
05/08/24 11:29,29.47,48.7,5111.39,2046,0,0,16000,1000
05/08/24 11:29,22.3,38.53,5111.39,2046,0,0,10000,2000
05/08/24 11:29,10.36,35.33,5111.39,2046,0,0,14000,3000
05/08/24 11:29,11.54,36.28,5111.39,2046,0,0,16000,1000
05/08/24 11:29,14.61,32.6,5111.39,2046,0,0,10000,2000
05/08/24 11:29,16.84,33.94,5111.39,2046,0,0,14000,3000
05/08/24 11:29,11.44,32.04,5111.39,2046,0,0,16000,1000
05/08/24 11:29,11.58,46.66,5111.39,2046,0,0,10000,2000
05/08/24 11:29,11.17,28.83,5111.39,2046,0,0,14000,3000
05/08/24 11:29,11.26,32.78,5111.39,2046,0,0,16000,1000
05/08/24 11:29,19.69,34.25,5111.39,2046,0,0,10000,2000
05/08/24 11:29,12.56,30.14,5111.39,2046,0,0,14000,3000
05/08/24 11:29,15.61,28.26,5111.39,2046,0,0,16000,1000
05/08/24 11:29,11.49,28.85,5111.39,2046,0,0,10000,2000
05/08/24 11:29,18.17,25.74,5111.39,2046,0,0,14000,3000
05/08/24 11:29,13.52,26.38,5111.39,2046,0,0,16000,1000
05/08/24 11:29,13.38,31.12,5111.39,2046,0,0,10000,2000
05/08/24 11:29,9.87,32.72,5111.39,2046,0,0,14000,3000
05/08/24 11:29,11.32,32.03,5111.39,2046,0,0,16000,1000
05/08/24 11:29,20.41,32.68,5111.39,2046,0,0,10000,2000
05/08/24 11:30,20.9,66,5111.39,2046,0,0,14000,3000
05/08/24 11:30,31.41,23.46,5111.39,2046,0,0,16000,1000
05/08/24 11:30,6.65,17.49,5111.39,2046,0,0,10000,2000
05/08/24 11:30,14.34,22.38,5111.39,2046,0,0,14000,3000
05/08/24 11:30,10.01,29.17,5111.39,2046,0,0,16000,1000
05/08/24 11:30,17.21,34.4,5111.39,2046,0,0,10000,2000
05/08/24 11:30,10.11,23.72,5111.39,2046,0,0,14000,3000
05/08/24 11:30,11.83,20.09,5111.39,2046,0,0,16000,1000
05/08/24 11:30,13.82,24.81,5111.39,2046,0,0,10000,2000
05/08/24 11:30,9.37,29.92,5111.39,2046,0,0,14000,3000
05/08/24 11:30,22.01,51.69,5111.39,2046,0,0,16000,1000
05/08/24 11:30,22.76,41.23,5111.39,2046,0,0,10000,2000
05/08/24 11:30,14.31,35.53,5111.39,2046,0,0,14000,3000
05/08/24 11:30,10.71,23.92,5111.39,2046,0,0,16000,1000
05/08/24 11:30,13.49,30.54,5111.39,2046,0,0,10000,2000
05/08/24 11:30,13.1,34.4,5111.39,2046,0,0,14000,3000
05/08/24 11:30,10.14,29.75,5111.39,2046,0,0,16000,1000
05/08/24 11:30,11.98,26.47,5111.39,2046,0,0,10000,2000
05/08/24 11:30,8.96,18.33,5111.39,2046,0,0,14000,3000
05/08/24 11:30,9.16,25.85,5111.39,2046,0,0,16000,1000
05/08/24 11:30,14.43,33.84,5111.39,2046,0,0,10000,2000
05/08/24 11:30,11.84,27.96,5111.39,2046,0,0,14000,3000
05/08/24 11:30,13.32,29.67,5111.39,2046,0,0,16000,1000
05/08/24 11:30,12.59,51.68,5111.39,2046,0,0,10000,2000
05/08/24 11:30,13.93,19.16,5111.39,2046,0,0,14000,3000
05/08/24 11:30,16.48,21.73,5111.39,2046,0,0,16000,1000
05/08/24 11:30,10.36,30.98,5111.39,2046,0,0,10000,2000
05/08/24 11:30,13.11,37.5,5111.39,2046,0,0,14000,3000
05/08/24 11:30,13.84,36.7,5111.39,2046,0,0,16000,1000
05/08/24 11:30,19.2,31.32,5111.39,2046,0,0,10000,2000
05/08/24 11:31,18.41,44.44,5111.39,2046,0,0,14000,3000
05/08/24 11:31,11.91,55.45,5111.39,2046,0,0,16000,1000
05/08/24 11:31,9.23,30.59,5111.39,2046,0,0,10000,2000
05/08/24 11:31,9.13,21.73,5111.39,2046,0,0,14000,3000
05/08/24 11:31,8.5,25.98,5111.39,2046,0,0,16000,1000
05/08/24 11:31,16.59,30.98,5111.39,2046,0,0,10000,2000
05/08/24 11:31,8.13,19.59,5111.39,2046,0,0,14000,3000
05/08/24 11:31,10.77,28.95,5111.39,2046,0,0,16000,1000
05/08/24 11:31,14.89,28.01,5111.39,2046,0,0,10000,2000
05/08/24 11:31,10.13,28.33,5111.39,2046,0,0,14000,3000
05/08/24 11:31,18.87,34.12,5111.39,2046,0,0,16000,1000
05/08/24 11:31,26.13,36.27,5111.39,2046,0,0,10000,2000
05/08/24 11:31,11.88,48.91,5111.39,2046,0,0,14000,3000
05/08/24 11:31,10.58,42.24,5111.39,2046,0,0,16000,1000
05/08/24 11:31,20.91,155.14,5111.39,2046,0,0,10000,2000
05/08/24 11:31,14.38,39.66,5111.39,2046,0,0,14000,3000
05/08/24 11:31,14.39,36.08,5111.39,2046,0,0,16000,1000
05/08/24 11:31,11.16,38.24,5111.39,2046,0,0,10000,2000
05/08/24 11:31,12.1,36.35,5111.39,2046,0,0,14000,3000
05/08/24 11:31,11.76,42.57,5111.39,2046,0,0,16000,1000
05/08/24 11:31,18.5,37.36,5111.39,2046,0,0,10000,2000
05/08/24 11:31,13.46,44.72,5111.39,2046,0,0,14000,3000
05/08/24 11:31,20.91,33.16,5111.39,2046,0,0,16000,1000
05/08/24 11:31,13.98,34.29,5111.39,2046,0,0,10000,2000
05/08/24 11:31,11.91,33.64,5111.39,2046,0,0,14000,3000
05/08/24 11:31,22.67,33.17,5111.39,2046,0,0,16000,1000
05/08/24 11:31,12.12,32.67,5111.39,2046,0,0,10000,2000
05/08/24 11:31,13.84,43.86,5111.39,2046,0,0,14000,3000
05/08/24 11:31,12.87,38.83,5111.39,2046,0,0,16000,1000
05/08/24 11:31,13.33,33.94,5111.39,2046,0,0,10000,2000
05/08/24 11:32,16.26,35.1,5111.39,2046,0,0,14000,3000
05/08/24 11:32,13.84,67.98,5111.39,2046,0,0,16000,1000
05/08/24 11:32,11.4,43.13,5111.39,2046,0,0,10000,2000
05/08/24 11:32,16.97,29.86,5111.39,2046,0,0,14000,3000
05/08/24 11:32,11.64,37.53,5111.39,2046,0,0,16000,1000
05/08/24 11:32,19.18,51.39,5111.39,2046,0,0,10000,2000
05/08/24 11:32,12.59,35.22,5111.39,2046,0,0,14000,3000
05/08/24 11:32,14.58,39.38,5111.39,2046,0,0,16000,1000
05/08/24 11:32,17.32,30.27,5111.39,2046,0,0,10000,2000
05/08/24 11:32,12.43,35.23,5111.39,2046,0,0,14000,3000
05/08/24 11:32,35.42,59.67,5111.39,2046,0,0,16000,1000
05/08/24 11:32,13.55,32.69,5111.39,2046,0,0,10000,2000
05/08/24 11:32,11.78,41.95,5111.39,2046,0,0,14000,3000
05/08/24 11:32,11.3,47.65,5111.39,2046,0,0,16000,1000
05/08/24 11:32,17.55,28.4,5111.39,2046,0,0,10000,2000
05/08/24 11:32,13.6,39.33,5111.39,2046,0,0,14000,3000
05/08/24 11:32,15,41.01,5111.39,2046,0,0,16000,1000
05/08/24 11:32,13.03,43.91,5111.39,2046,0,0,10000,2000
05/08/24 11:32,11.04,34.17,5111.39,2046,0,0,14000,3000
05/08/24 11:32,12.01,27.12,5111.39,2046,0,0,16000,1000
05/08/24 11:32,18.82,42.67,5111.39,2046,0,0,10000,2000
05/08/24 11:32,13.22,34,5111.39,2046,0,0,14000,3000
05/08/24 11:32,16.96,39.35,5111.39,2046,0,0,16000,1000
05/08/24 11:32,12.74,44.06,5111.39,2046,0,0,10000,2000
05/08/24 11:32,9.33,29.48,5111.39,2046,0,0,14000,3000
05/08/24 11:32,28.58,32.86,5111.39,2046,0,0,16000,1000
05/08/24 11:32,11.69,33.64,5111.39,2046,0,0,10000,2000
05/08/24 11:32,12.31,35.07,5111.39,2046,0,0,14000,3000
05/08/24 11:32,12.15,41.11,5111.39,2046,0,0,16000,1000
05/08/24 11:32,20.2,51.1,5111.39,2046,0,0,10000,2000
05/08/24 11:33,16.16,28.58,5111.39,2046,0,0,14000,3000
05/08/24 11:33,13.24,54.32,5111.39,2046,0,0,16000,1000
05/08/24 11:33,11.56,36.9,5111.39,2046,0,0,10000,2000
05/08/24 11:33,12.1,48.55,5111.39,2046,0,0,14000,3000
05/08/24 11:33,11.74,31.69,5111.39,2046,0,0,16000,1000
05/08/24 11:33,19.83,40,5111.39,2046,0,0,10000,2000
05/08/24 11:33,15.54,31.17,5111.39,2046,0,0,14000,3000
05/08/24 11:33,15.04,36.62,5111.39,2046,0,0,16000,1000
05/08/24 11:33,17.25,39.38,5111.39,2046,0,0,10000,2000
05/08/24 11:33,13.13,34.8,5111.39,2046,0,0,14000,3000
05/08/24 11:33,34.41,53.22,5111.39,2046,0,0,16000,1000
05/08/24 11:33,14.33,26.47,5111.39,2046,0,0,10000,2000
05/08/24 11:33,12.39,33.13,5111.39,2046,0,0,14000,3000
05/08/24 11:33,11.06,33.67,5111.39,2046,0,0,16000,1000
05/08/24 11:33,14.91,33.51,5111.39,2046,0,0,10000,2000
05/08/24 11:33,15.99,37.61,5111.39,2046,0,0,14000,3000
05/08/24 11:33,14.38,35.89,5111.39,2046,0,0,16000,1000
05/08/24 11:33,13.43,36.93,5111.39,2046,0,0,10000,2000
05/08/24 11:33,11.77,40.39,5111.39,2046,0,0,14000,3000
05/08/24 11:33,12.84,36.18,5111.39,2046,0,0,16000,1000
05/08/24 11:33,19.49,39.87,5111.39,2046,0,0,10000,2000
05/08/24 11:33,13.62,52.57,5111.39,2046,0,0,14000,3000
05/08/24 11:33,23.82,31.37,5111.39,2046,0,0,16000,1000
05/08/24 11:33,14.68,37.93,5111.39,2046,0,0,10000,2000
05/08/24 11:33,12.63,36.57,5111.39,2046,0,0,14000,3000
05/08/24 11:33,23.64,32.5,5111.39,2046,0,0,16000,1000
05/08/24 11:33,13.96,35.27,5111.39,2046,0,0,10000,2000
05/08/24 11:33,15.03,35.99,5111.39,2046,0,0,14000,3000
05/08/24 11:33,12.93,42.83,5111.39,2046,0,0,16000,1000
05/08/24 11:33,14.13,36.61,5111.39,2046,0,0,10000,2000
05/08/24 11:34,16.31,33.47,5111.39,2046,0,0,14000,3000
05/08/24 11:34,13.8,67.4,5111.39,2046,0,0,16000,1000
05/08/24 11:34,12.58,32.13,5111.39,2046,0,0,10000,2000
05/08/24 11:34,12.15,37.41,5111.39,2046,0,0,14000,3000
05/08/24 11:34,11.96,35.65,5111.39,2046,0,0,16000,1000
05/08/24 11:34,18.58,38.69,5111.39,2046,0,0,10000,2000
05/08/24 11:34,13.3,36.34,5111.39,2046,0,0,14000,3000
05/08/24 11:34,16.52,35.98,5111.39,2046,0,0,16000,1000
05/08/24 11:34,13.93,31.06,5111.39,2046,0,0,10000,2000
05/08/24 11:34,175.77,24.42,5111.39,2046,0,0,14000,3000
05/08/24 11:34,247.22,49.68,5111.39,2046,0,0,16000,1000
05/08/24 11:34,101.19,37.21,5111.39,2046,0,0,10000,2000
05/08/24 11:34,12.96,52.54,5111.39,2046,0,0,14000,3000
05/08/24 11:34,12.31,37.85,5111.39,2046,0,0,16000,1000
05/08/24 11:34,25.64,39.36,5111.39,2046,0,0,10000,2000
05/08/24 11:34,15.29,31.18,5111.39,2046,0,0,14000,3000
05/08/24 11:34,10.91,41.55,5111.39,2046,0,0,16000,1000
05/08/24 11:34,12.91,39.74,5111.39,2046,0,0,10000,2000
05/08/24 11:34,11.11,32.99,5111.39,2046,0,0,14000,3000
05/08/24 11:34,13.11,30.19,5111.39,2046,0,0,16000,1000
05/08/24 11:34,19.07,42.3,5111.39,2046,0,0,10000,2000
05/08/24 11:34,12.65,35.48,5111.39,2046,0,0,14000,3000
05/08/24 11:34,16.7,35.28,5111.39,2046,0,0,16000,2000
05/08/24 11:34,13.75,38,5111.39,2046,0,0,10000,3000
05/08/24 11:34,13.22,29.49,5111.39,2046,0,0,14000,1000
05/08/24 11:34,23.27,33.45,5111.39,2046,0,0,16000,2000
05/08/24 11:34,12.99,33.97,5111.39,2046,0,0,10000,3000
05/08/24 11:34,12.18,38.31,5111.39,2046,0,0,14000,1000
05/08/24 11:34,14.1,37.11,5111.39,2046,0,0,16000,2000
05/08/24 11:34,12.69,34.41,5111.39,2046,0,0,10000,3000
05/08/24 11:34,17.39,52.46,5111.39,2046,0,0,14000,1000
05/08/24 11:35,33.08,30.67,5111.39,2046,0,0,16000,2000
05/08/24 11:35,10.96,54.52,5111.39,2046,0,0,10000,3000
05/08/24 11:35,14.55,41.33,5111.39,2046,0,0,14000,1000
05/08/24 11:35,11.22,37.78,5111.39,2046,0,0,16000,2000
05/08/24 11:35,17.07,35.44,5111.39,2046,0,0,10000,3000
05/08/24 11:35,15.64,45.94,5111.39,2046,0,0,14000,1000
05/08/24 11:35,14.48,36,5111.39,2046,0,0,16000,2000
05/08/24 11:35,12.58,37.87,5111.39,2046,0,0,10000,3000
05/08/24 11:35,14.95,40.31,5111.39,2046,0,0,14000,1000
05/08/24 11:35,22.55,46,5111.39,2046,0,0,16000,2000
05/08/24 11:35,28.04,43.4,5111.39,2046,0,0,10000,3000
05/08/24 11:35,13.92,34.88,5111.39,2046,0,0,14000,1000
05/08/24 11:35,12.03,39.8,5111.39,2046,0,0,16000,2000
05/08/24 11:35,13.12,34.93,5111.39,2046,0,0,10000,3000
05/08/24 11:35,13.39,35.63,5111.39,2046,0,0,14000,1000
05/08/24 11:35,16.39,28.43,5111.39,2046,0,0,16000,2000
05/08/24 11:35,12.67,39.65,5111.39,2046,0,0,10000,3000
05/08/24 11:35,11.84,50.75,5111.39,2046,0,0,14000,1000
05/08/24 11:35,11.41,56.1,5111.39,2046,0,0,16000,2000
05/08/24 11:35,16.5,43.91,5111.39,2046,0,0,10000,3000
05/08/24 11:35,14.32,32.01,5111.39,2046,0,0,14000,1000
05/08/24 11:35,23.06,33.55,5111.39,2046,0,0,16000,2000
05/08/24 11:35,12.05,40.19,5111.39,2046,0,0,10000,3000
05/08/24 11:35,14.76,41.4,5111.39,2046,0,0,14000,1000
05/08/24 11:35,20.97,34.72,5111.39,2046,0,0,16000,2000
05/08/24 11:35,15.15,35.39,5111.39,2046,0,0,10000,3000
05/08/24 11:35,12.99,27.9,5111.39,2046,0,0,14000,1000
05/08/24 11:35,12.15,39.96,5111.39,2046,0,0,16000,2000
05/08/24 11:35,12.14,37.19,5111.39,2046,0,0,10000,3000
05/08/24 11:35,25.44,32.9,5111.39,2046,0,0,14000,1000
05/08/24 11:36,17.1,34.13,5111.39,2046,0,0,16000,2000
05/08/24 11:36,11.57,65.74,5111.39,2046,0,0,10000,3000
05/08/24 11:36,15.83,41.46,5111.39,2046,0,0,14000,1000
05/08/24 11:36,13.87,38.87,5111.39,2046,0,0,16000,2000
05/08/24 11:36,15.36,40.99,5111.39,2046,0,0,10000,3000
05/08/24 11:36,15.44,34.94,5111.39,2046,0,0,14000,1000
05/08/24 11:36,15.09,38.13,5111.39,2046,0,0,16000,2000
05/08/24 11:36,15.54,48.79,5111.39,2046,0,0,10000,3000
05/08/24 11:36,16.47,35.4,5111.39,2046,0,0,14000,1000
05/08/24 11:36,22.32,50.79,5111.39,2046,0,0,16000,2000
